Date,Time,Open,High,Low,Close,Volume
2023-01-13,00:00:00,240.99,245.75,219.35,239.25,2247606.42
2023-01-31,00:00:00,239.18,254.79,230.68,246.85,2895193.64
2023-02-15,00:00:00,247.61,276.76,245.47,269.79,3027374.77
2023-02-28,00:00:00,270.08,270.91,248.1,248.5,1534229.91
2023-03-17,00:00:00,250.78,283.33,243.35,279.38,3326788.19
2023-03-31,00:00:00,267.0,289.27,263.28,288.54,3323584.41
2023-04-14,00:00:00,287.48,292.08,281.15,286.5,1768643.04
2023-04-28,00:00:00,287.89,308.93,275.17,307.5,2436285.8
2023-05-16,00:00:00,307.5,313.71,303.4,311.7,2084139.26
2023-05-31,00:00:00,311.72,338.11,310.74,329.15,2208823.5
2023-06-15,00:00:00,328.96,349.91,320.0,349.0,2057503.49
2023-06-30,00:00:00,337.35,352.25,328.45,340.6,2078364.56
2023-07-14,00:00:00,340.65,351.43,327.0,346.99,1574933.29
2023-07-31,00:00:00,348.51,366.78,329.05,336.1,3269838.52
2023-08-14,00:00:00,335.53,338.54,319.21,324.5,1458462.01
2023-08-31,00:00:00,324.68,335.1,311.55,328.31,1805334.72
2023-09-13,00:00:00,328.43,338.42,326.55,336.5,962948.51
2023-09-29,00:00:00,336.92,340.86,309.45,315.88,1933521.32
2023-10-13,00:00:00,317.5,333.83,310.99,327.5,1500250.13
2023-10-31,00:00:00,330.56,351.95,324.27,337.65,2743253.29
2023-11-10,00:00:00,338.0,370.09,336.45,369.39,1424434.73
2023-11-30,00:00:00,369.01,385.5,359.86,378.75,2493422.39
2023-12-12,00:00:00,378.68,379.43,362.9,374.7,1474173.62
2023-12-29,00:00:00,374.7,377.69,364.13,375.65,2232419.89
2024-01-11,00:00:00,376.73,390.68,366.5,382.56,1286994.89
2024-01-31,00:00:00,385.7,417.16,380.38,398.49,2477291.39
2024-02-09,00:00:00,400.15,421.21,398.81,420.83,1125186.9
2024-02-29,00:00:00,421.0,421.33,397.22,412.7,1821528.37
2024-03-11,00:00:00,413.65,417.35,398.39,406.06,943582.64
2024-03-28,00:00:00,406.55,431.61,404.4,419.86,1986483.1
2024-04-10,00:00:00,423.0,428.67,417.57,422.18,845782.23
2024-04-30,00:00:00,423.35,429.37,388.03,390.2,1977959.66
2024-05-10,00:00:00,391.11,415.38,389.33,414.6,838104.03
2024-05-31,00:00:00,409.61,434.75,404.73,415.19,1888494.16
2024-06-07,00:00:00,416.5,426.28,408.92,423.81,508433.69
2024-06-28,00:00:00,423.8,456.17,423.0,447.35,1733662.75
2024-07-09,00:00:00,448.4,469.55,445.66,460.1,597298.92
2024-07-31,00:00:00,461.0,467.75,389.2,419.2,2343677.82
2024-08-08,00:00:00,419.96,427.46,368.95,404.85,1050445.97
2024-08-30,00:00:00,397.28,426.79,396.99,417.2,1831652.48
2024-09-06,00:00:00,418.0,419.88,400.0,400.07,459058.62
2024-09-30,00:00:00,404.58,442.47,402.15,428.99,2042577.86
2024-10-07,00:00:00,429.51,430.3,408.91,409.55,581009.93
2024-10-31,00:00:00,410.94,444.95,405.5,408.97,2238704.39
2024-11-06,00:00:00,409.53,420.9,405.57,419.5,568067.07
2024-11-29,00:00:00,420.06,429.33,410.28,423.1,2109844.32
2024-12-06,00:00:00,422.61,446.1,420.87,443.0,608343.47
2024-12-16,00:00:00,438.47,456.17,436.17,450.74,1005590.92
2022-12-30,00:00:00,142.68,142.73,125.87,129.97,8139079.01
2023-01-13,00:00:00,130.28,134.92,124.17,134.55,6121464.29
